index,Close,High,Low,n,Open,v,vw,symbol
2019-11-15 09:31:00-05:00,25.0,25.0,25.0,1,25.0,700,25.0,WEBL
2019-11-15 09:52:00-05:00,24.86,24.86,24.86,3,24.86,300,24.86,WEBL
2019-11-15 11:18:00-05:00,25.17,25.17,25.17,1,25.17,100,25.17,WEBL
2019-11-15 11:51:00-05:00,25.1692,25.1692,25.1692,1,25.1692,108,25.1692,WEBL
2019-11-15 15:03:00-05:00,25.33,25.33,25.33,2,25.33,120,25.33,WEBL
2019-11-15 10:38:00-05:00,24.98,24.98,24.98,3,24.98,300,24.98,WEBS
2019-11-15 11:12:00-05:00,24.75,24.75,24.75,58,24.75,5800,24.75,WEBS
2019-11-15 11:52:00-05:00,24.7901,24.7901,24.79,3,24.79,209,24.790048,WEBS
2019-11-15 12:00:00-05:00,24.81,24.81,24.81,1,24.81,100,24.81,WEBS
2019-11-18 09:39:00-05:00,25.1303,25.1303,25.1303,1,25.1303,100,25.1303,WEBL
2019-11-18 09:40:00-05:00,25.0485,25.1,25.0485,2,25.1,580,25.082241,WEBL
2019-11-18 10:43:00-05:00,25.32,25.33,25.32,2,25.33,200,25.325,WEBL
2019-11-18 10:44:00-05:00,25.33,25.35,25.32,11,25.32,1100,25.333636,WEBL
2019-11-18 10:45:00-05:00,25.33,25.33,25.33,8,25.33,715,25.33,WEBL
2019-11-18 12:05:00-05:00,25.3999,25.3999,25.3999,1,25.3999,800,25.3999,WEBL
2019-11-18 13:56:00-05:00,25.61,25.61,25.61,5,25.61,500,25.61,WEBL
2019-11-18 15:37:00-05:00,25.54,25.6,25.54,7,25.56,850,25.583529,WEBL
2019-11-18 15:50:00-05:00,25.4932,25.5,25.4932,5,25.5,500,25.49728,WEBL
2019-11-18 10:15:00-05:00,24.85,24.85,24.84,2,24.84,200,24.845,WEBS
2019-11-18 10:20:00-05:00,24.93,24.93,24.93,1,24.93,100,24.93,WEBS
2019-11-18 11:35:00-05:00,24.54,24.54,24.54,1,24.54,100,24.54,WEBS
2019-11-18 15:02:00-05:00,24.26,24.26,24.26,1,24.26,100,24.26,WEBS
2019-11-19 12:45:00-05:00,26.02,26.02,26.02,4,26.02,400,26.02,WEBL
2019-11-19 14:54:00-05:00,26.0554,26.07,26.0554,2,26.07,200,26.0627,WEBL
2019-11-19 14:55:00-05:00,26.058,26.07,26.058,3,26.07,277,26.065668,WEBL
2019-11-19 15:01:00-05:00,26.05,26.05,26.05,2,26.05,185,26.05,WEBL
2019-11-19 15:37:00-05:00,26.0353,26.04,26.0105,6,26.04,442,26.032058,WEBL
2019-11-19 15:59:00-05:00,25.94,25.94,25.94,3,25.94,300,25.94,WEBL
