index,Open,High,Low,Close,Volume,Ticker
2018-01-02 09:30:00,60.52,60.565,60.484,60.554,1001,KORU
2018-01-02 09:31:00,60.473,60.518,60.437,60.507,100,KORU
2018-01-02 09:32:00,60.473,60.518,60.437,60.507,100,KORU
2018-01-02 09:39:00,60.305,60.35,60.269,60.339,1480,KORU
2018-01-02 09:40:00,60.478,60.542,60.442,60.531,780,KORU
2018-01-02 09:41:00,60.503,60.548,60.315,60.385,1243,KORU
2018-01-02 09:42:00,60.453,60.497,60.417,60.486,390,KORU
2018-01-02 09:43:00,60.435,60.48,60.399,60.469,200,KORU
2018-01-02 09:44:00,60.435,60.48,60.343,60.412,375,KORU
2018-01-02 09:47:00,60.388,60.433,60.352,60.422,200,KORU
2018-01-02 09:48:00,60.292,60.336,60.256,60.325,700,KORU
2018-01-02 09:59:00,60.115,60.16,60.08,60.149,130,KORU
2018-01-02 10:01:00,60.28,60.324,60.244,60.313,500,KORU
2018-01-02 10:05:00,60.341,60.386,60.305,60.375,160,KORU
2018-01-02 10:07:00,60.341,60.386,60.305,60.375,100,KORU
2018-01-02 10:11:00,60.435,60.48,60.399,60.469,100,KORU
2018-01-02 10:14:00,60.329,60.374,60.293,60.363,300,KORU
2018-01-02 10:17:00,60.435,60.48,60.399,60.469,100,KORU
2018-01-02 10:18:00,60.435,60.48,60.399,60.469,400,KORU
2018-01-02 10:32:00,60.312,60.357,60.277,60.346,790,KORU
2018-01-02 10:33:00,60.435,60.48,60.399,60.469,790,KORU
2018-01-02 10:38:00,60.331,60.376,60.296,60.365,600,KORU
2018-01-02 10:53:00,60.393,60.438,60.358,60.427,202,KORU
2018-01-02 10:54:00,60.332,60.434,60.297,60.423,407,KORU
2018-01-02 10:57:00,60.435,60.48,60.399,60.469,900,KORU
2018-01-02 11:01:00,60.407,60.452,60.371,60.441,100,KORU
2018-01-02 11:10:00,60.407,60.452,60.371,60.441,100,KORU
2018-01-02 11:19:00,60.416,60.461,60.381,60.45,100,KORU
2018-01-02 11:27:00,60.351,60.396,60.315,60.384,100,KORU
2018-01-02 11:34:00,60.331,60.376,60.296,60.365,200,KORU
2018-01-02 11:35:00,60.331,60.445,60.296,60.434,800,KORU
2018-01-02 11:39:00,60.435,60.48,60.399,60.469,300,KORU
2018-01-02 11:40:00,60.397,60.442,60.362,60.431,591,KORU
2018-01-02 11:42:00,60.397,60.442,60.362,60.431,1000,KORU
2018-01-02 11:43:00,60.368,60.413,60.332,60.402,100,KORU
2018-01-02 11:53:00,60.369,60.414,60.333,60.403,100,KORU
2018-01-02 12:02:00,60.237,60.282,60.202,60.271,1800,KORU
2018-01-02 12:03:00,60.492,60.537,60.456,60.526,155,KORU
2018-01-02 12:05:00,60.52,60.565,60.333,60.554,2100,KORU
2018-01-02 12:06:00,60.52,60.565,60.484,60.554,600,KORU
