Date,AGG,BIL,BND,EEM,EFA,IEF,LQD,PDBC,QQQ,SPY,TIP,TLT,VEA,VWO
2022-06-27,100.5999984741211,91.4499969482422,74.47000122070312,40.70000076293945,63.5,100.58000183105467,109.08000183105467,18.739999771118164,292.45001220703125,388.5899963378906,114.61000061035156,111.5999984741211,41.5,42.220001220703125
2022-06-28,100.63999938964844,91.47000122070312,74.51000213623047,40.45000076293945,63.06999969482422,100.70999908447266,109.0500030517578,18.90999984741211,283.5400085449219,380.6499938964844,114.20999908447266,112.12000274658205,41.27999877929688,41.93999862670898
2022-06-29,101.22000122070312,91.4800033569336,74.94000244140625,40.290000915527344,62.83000183105469,101.5199966430664,109.6999969482422,18.6299991607666,283.79998779296875,380.3399963378906,114.01000213623048,113.87000274658205,41.02999877929688,41.83000183105469
2022-06-30,101.68000030517578,91.48999786376952,75.26000213623047,40.09999847412109,62.4900016784668,102.3000030517578,110.02999877929688,18.040000915527344,280.2799987792969,377.25,113.91000366210938,114.87000274658205,40.79999923706055,41.650001525878906
2022-07-01,102.33999633789062,91.43000030517578,75.70999908447266,39.84999847412109,62.63999938964844,103.23999786376952,111.12000274658205,18.100000381469727,282.1300048828125,381.239990234375,115.16999816894533,115.81999969482422,40.88999938964844,41.400001525878906
2022-07-05,102.52999877929688,91.43000030517578,75.83999633789062,39.540000915527344,61.29999923706055,103.62000274658205,111.08999633789062,16.93000030517578,286.9599914550781,381.9599914550781,114.8499984741211,116.7300033569336,40.0099983215332,41.06999969482422
2022-07-06,101.83999633789062,91.43000030517578,75.37999725341797,39.29999923706055,61.34999847412109,102.73999786376952,110.54000091552734,16.649999618530273,288.79998779296875,383.25,113.80999755859376,114.7699966430664,40.0099983215332,40.790000915527344
2022-07-07,101.61000061035156,91.43000030517578,75.16999816894531,40.09000015258789,62.27999877929688,102.11000061035156,110.52999877929688,17.299999237060547,294.9800109863281,388.989990234375,113.62999725341795,113.76000213623048,40.65999984741211,41.63999938964844
2022-07-08,101.2300033569336,91.41999816894533,74.91999816894531,40.09000015258789,62.34999847412109,101.48999786376952,110.3499984741211,17.600000381469727,295.3500061035156,388.6700134277344,113.51000213623048,112.5,40.7599983215332,41.540000915527344
2022-07-11,101.6999969482422,91.43000030517578,75.19999694824219,39.02000045776367,61.34000015258789,102.29000091552734,110.66000366210938,17.639999389648438,289.0400085449219,384.2300109863281,113.69000244140624,114.44000244140624,40.08000183105469,40.5099983215332
2022-07-12,101.83999633789062,91.41999816894533,75.33000183105469,38.869998931884766,61.33000183105469,102.52999877929688,110.81999969482422,16.809999465942383,286.239990234375,380.8299865722656,113.6500015258789,115.12000274658205,40.040000915527344,40.36000061035156
2022-07-13,102.20999908447266,91.41999816894533,75.56999969482422,38.77999877929688,61.29999923706055,102.97000122070312,111.6500015258789,16.8799991607666,285.6499938964844,378.8299865722656,114.23999786376952,116.44000244140624,39.9900016784668,40.2400016784668
2022-07-14,101.8499984741211,91.43000030517578,75.33000183105469,38.43000030517578,60.43999862670898,102.4000015258789,110.94000244140624,16.729999542236328,286.6700134277344,377.9100036621094,113.95999908447266,115.48999786376952,39.400001525878906,39.970001220703125
2022-07-15,102.25,91.41999816894533,75.5999984741211,38.630001068115234,61.400001525878906,102.75,111.83000183105467,16.950000762939453,291.8699951171875,385.1300048828125,114.62000274658205,116.13999938964844,40.0,40.11000061035156
2022-07-18,101.91999816894533,91.41999816894533,75.37000274658203,38.900001525878906,61.650001525878906,102.4499969482422,111.0500030517578,17.270000457763672,289.3999938964844,381.9500122070313,114.47000122070312,114.93000030517578,40.25,40.29999923706055
2022-07-19,101.77999877929688,91.41999816894533,75.30999755859375,39.540000915527344,63.33000183105469,101.9800033569336,111.36000061035156,17.350000381469727,298.29998779296875,392.2699890136719,114.3499984741211,114.30999755859376,41.290000915527344,40.869998931884766
2022-07-20,101.70999908447266,91.41999816894533,75.23999786376953,39.369998931884766,62.90999984741211,101.87999725341795,111.23999786376952,17.31999969482422,303.0299987792969,394.7699890136719,114.25,114.61000061035156,41.09000015258789,40.70000076293945
2022-07-21,102.55999755859376,91.4499969482422,75.86000061035156,39.81999969482422,63.560001373291016,103.04000091552734,112.76000213623048,17.0,307.3800048828125,398.7900085449219,114.95999908447266,116.58999633789062,41.54999923706055,41.20000076293945
2022-07-22,103.36000061035156,91.45999908447266,76.4800033569336,39.41999816894531,63.400001525878906,104.22000122070312,113.62999725341795,16.829999923706055,301.989990234375,395.0899963378906,115.93000030517578,118.5500030517578,41.40999984741211,40.77999877929688
2022-07-25,102.9800033569336,91.4499969482422,76.19999694824219,39.560001373291016,63.88999938964844,103.8499984741211,112.66999816894533,17.110000610351562,300.2699890136719,395.5700073242188,115.70999908447266,117.38999938964844,41.75,40.970001220703125
2022-07-26,102.95999908447266,91.4499969482422,76.22000122070312,39.25,63.0,103.88999938964844,112.6500015258789,17.170000076293945,294.3699951171875,390.8900146484375,115.70999908447266,117.4800033569336,41.18000030517578,40.58000183105469
2022-07-27,103.31999969482422,91.4499969482422,76.43000030517578,39.97999954223633,64.48999786376953,104.0999984741211,113.4000015258789,17.530000686645508,306.8099975585937,401.0400085449219,116.4499969482422,116.81999969482422,42.119998931884766,41.380001068115234
2022-07-28,104.05999755859376,91.45999908447266,76.95999908447266,40.150001525878906,64.81999969482422,105.12999725341795,114.33999633789062,17.549999237060547,309.8099975585937,406.0700073242188,117.63999938964844,117.75,42.38999938964844,41.5099983215332
