Datetime,Open,Open,Open,Open,Open,Open,Open,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low
,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2023-08-14 9:30,177.9700012,138.3000031,129.3899994,300.980011,321.3900146,404.8599854,235.6999969,178.4051056,138.6300049,130.0500031,299.9500122,321.6099854,411.5050049,235.5,178.5299988,138.9100037,130.4299011,301.5,321.8699951,412.2160034,236.821106,177.3049927,137.75,128.9600067,298.25,320.0799866,403.1099854,233.75
2023-08-14 9:45,178.4049988,138.6300049,130.0549927,299.8800964,321.5899963,411.420105,235.4900055,178.2749939,139.1150055,129.9550018,298.9100037,320.9849854,416.3135071,236.4700012,178.4649963,139.5399933,130.3800049,300.5899963,321.7799988,416.5,237.0800018,177.6900024,138.3099976,129.8000031,298.6199951,320.476593,411.420105,234.3500061
2023-08-14 10:00,178.2700043,139.1000061,129.9600067,298.9299927,320.9899902,416.3099976,236.4400024,178.5200043,139.6199951,130.6399994,301.1654053,322.1400146,422.4200134,237.9649963,178.5200043,139.6399994,130.6399994,301.4699097,322.2200012,422.6799927,238.1499939,178.0200043,138.8800049,129.7400055,298.5111084,320.6499939,415.5,235.9600067
2023-08-14 10:15,178.5299988,139.6199951,130.6499939,301.2099915,322.1400146,422.4299927,237.9700012,178.2700043,139.8186035,130.3300934,300.9599915,320.9500122,419.5499878,238.0101013,178.8600006,140.0800018,130.6799927,301.8763123,322.1900024,422.6299133,238.9600067,178.2149963,139.3899994,130.2059937,300.5,320.7799988,419.230011,237.3200073
2023-08-14 10:30,178.2700043,139.8280945,130.3500061,300.9200134,320.9501038,419.5400085,238.0200043,179.082901,140.1734924,130.7449951,303.0799866,322.0650024,425.625,239.5,179.2799988,140.3300018,130.8999939,303.5599976,322.230011,426.2000122,239.5899963,178.2599945,139.6199951,130.3200073,300.5799866,320.8586121,419.1799927,237.5099945
2023-08-14 10:45,179.0850067,140.1900024,130.7799988,303.2000122,322.0899963,425.6900024,239.4700928,179.4400024,140.2899933,130.9949951,303.4100037,323.6099854,426.9200134,239.9600067,179.6900024,140.5364075,131.1699982,304.2000122,324.0599976,428.3800049,240.6600037,179.0500031,139.9400024,130.6999969,302.9500122,321.9150085,425.5599976,239.1199951
2023-08-14 11:00,179.4380035,140.3000031,130.9850006,303.3999939,323.6499939,426.9299927,239.9600067,179.0700073,139.8800049,130.8500061,302.4299927,322.4224854,426.2900085,238.2375946,179.5399933,140.4299927,131.1499939,303.3999939,323.6499939,427,240.0299988,179.0700073,139.8699951,130.75,302.2399902,322.1799927,425.0849915,238.1329956
2023-08-14 11:15,179.0700073,139.8699951,130.8500061,302.3900146,322.3699951,426.269989,238.2299957,179.3500061,139.9900055,131.1150055,303.1950073,322.7799988,427.6400146,238.9900055,179.3600006,140.0099945,131.1499939,303.3900146,322.8099976,427.7499084,239.1799927,179,139.6300964,130.7899933,302.25,322.1600037,424.4100037,238.0599976
2023-08-14 11:30,179.3500061,140,131.1199951,303.2399902,322.7999878,427.6900024,238.9900055,179.2200012,139.9149933,131.1699982,303.8399963,323.1199951,429.2950134,237.9900055,179.3899994,140.0299988,131.2850037,304,323.2099915,429.480011,239.2100067,179.0599976,139.6900024,130.9700012,302.8800049,322.1900024,427.1720886,237.7200012
