index,Close,High,Low,n,Open,v,vw,symbol
2021-01-04 10:39:00-05:00,63.955,63.955,63.955,2,63.955,1020,63.954141,WEBL
2021-01-04 10:40:00-05:00,63.98,63.98,63.98,4,63.98,254,64.006063,WEBL
2021-01-04 10:43:00-05:00,64.2238,64.3934,64.2238,2,64.3934,1620,64.236363,WEBL
2021-01-04 10:44:00-05:00,64.1304,64.2207,64.11,43,64.13,2337,64.149686,WEBL
2021-01-04 10:45:00-05:00,63.9119,63.9119,63.82,11,63.82,622,63.876287,WEBL
2021-01-04 10:46:00-05:00,63.6,63.76,63.6,11,63.76,1701,63.624209,WEBL
2021-01-04 10:47:00-05:00,63.55,63.55,63.55,8,63.55,1500,63.552267,WEBL
2021-01-04 10:48:00-05:00,63.415,63.528,63.412,23,63.5,3108,63.474128,WEBL
2021-01-04 10:52:00-05:00,63.37,63.455,63.37,6,63.455,261,63.4257,WEBL
2021-01-04 10:54:00-05:00,63.04,63.1687,63.04,18,63.1687,932,63.060107,WEBL
2021-01-04 10:56:00-05:00,63.04,63.04,63.04,42,63.04,1010,63.018396,WEBL
2021-01-04 10:57:00-05:00,62.73,62.73,62.73,10,62.73,272,62.785147,WEBL
2021-01-04 10:59:00-05:00,62.2006,62.26,62.2006,17,62.22,1443,62.258957,WEBL
2021-01-04 11:00:00-05:00,62.26,62.26,62.26,1,62.26,100,62.26,WEBL
2021-01-04 11:02:00-05:00,62.31,62.38,62.31,13,62.38,2491,62.315231,WEBL
2021-01-04 11:03:00-05:00,62.19,62.365,62.07,14,62.365,3172,62.153785,WEBL
2021-01-04 11:04:00-05:00,61.8906,62.0,61.8906,25,62.0,642,61.987173,WEBL
2021-01-04 11:05:00-05:00,62.0,62.08,62.0,10,62.0,656,62.045122,WEBL
2021-01-04 11:06:00-05:00,61.89,61.89,61.89,14,61.89,704,61.878464,WEBL
2021-01-04 11:07:00-05:00,61.74,61.74,61.74,4,61.74,204,61.738503,WEBL
2021-01-04 11:10:00-05:00,61.84,61.84,61.84,4,61.84,112,61.846339,WEBL
2021-01-04 11:11:00-05:00,62.05,62.05,62.05,4,62.05,232,62.048103,WEBL
2021-01-04 11:12:00-05:00,62.1847,62.1847,62.1847,2,62.1847,101,62.187129,WEBL
2021-01-04 11:15:00-05:00,62.36,62.36,62.36,3,62.36,227,62.364537,WEBL
2021-01-04 11:17:00-05:00,62.515,62.515,62.515,2,62.515,452,62.514712,WEBL
2021-01-04 11:18:00-05:00,62.43,62.43,62.43,1,62.43,109,62.43,WEBL
2021-01-04 11:40:00-05:00,62.31,62.36,62.3,29,62.36,3018,62.32,WEBL
2021-01-04 11:42:00-05:00,62.2579,62.2579,62.2579,3,62.2579,323,62.257889,WEBL
2021-01-04 11:48:00-05:00,62.29,62.29,62.29,2,62.29,120,62.2825,WEBL
2021-01-04 12:00:00-05:00,61.47,61.47,61.47,15,61.47,678,61.470125,WEBL
2021-01-04 12:01:00-05:00,61.3,61.3,61.3,15,61.3,228,61.258531,WEBL
2021-01-04 12:02:00-05:00,61.02,61.02,61.02,13,61.02,310,61.087194,WEBL
2021-01-04 12:03:00-05:00,60.95,61.01,60.95,28,61.01,3000,60.987473,WEBL
2021-01-04 12:04:00-05:00,60.8,60.8,60.8,9,60.8,271,60.891386,WEBL
2021-01-04 12:05:00-05:00,60.99,60.99,60.9334,6,60.9334,1005,60.940432,WEBL
2021-01-04 12:09:00-05:00,60.34,60.34,60.34,14,60.34,135,60.369148,WEBL
2021-01-04 12:10:00-05:00,60.43,60.43,60.43,12,60.43,379,60.386095,WEBL
2021-01-04 12:11:00-05:00,59.98,60.24,59.98,24,60.24,1120,60.029674,WEBL
2021-01-04 12:13:00-05:00,59.98,60.07,59.98,10,60.07,830,60.050693,WEBL
2021-01-04 12:14:00-05:00,59.91,60.0,59.91,13,60.0,883,59.935334,WEBL
2021-01-04 12:15:00-05:00,59.63,59.73,59.52,12,59.6,1082,59.585142,WEBL
2021-01-04 12:19:00-05:00,60.27,60.31,60.27,9,60.31,365,60.285425,WEBL
2021-01-04 12:20:00-05:00,60.22,60.22,60.22,5,60.22,132,60.297379,WEBL
2021-01-04 12:21:00-05:00,60.53,60.56,60.52,6,60.56,330,60.541587,WEBL
2021-01-04 12:28:00-05:00,60.7475,60.7475,60.7475,1,60.7475,415,60.7475,WEBL
2021-01-04 12:30:00-05:00,60.585,60.585,60.585,3,60.585,307,60.586938,WEBL
2021-01-04 12:31:00-05:00,60.5,60.5,60.5,8,60.5,575,60.503478,WEBL
